,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
221,221,221,221,222,0,2,"Bracken, Mr. James H",0,-0.1814872444684187,-0.4745451962498395,-0.4736736092984604,220367,-0.3866707201133388,,S
222,222,222,222,223,0,3,"Green, Mr. George Henry",0,1.6629089952425695,-0.4745451962498395,-0.4736736092984604,21440,-0.4863374216869257,,S
223,223,223,223,224,0,3,"Nenkoff, Mr. Christo",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,349234,-0.4894421904510968,,S
225,225,225,225,226,0,3,"Berglund, Mr. Karl Ivar Sven",0,-0.5657364610748746,-0.4745451962498395,-0.4736736092984604,PP 4348,-0.4601623283443675,,S
226,226,226,226,227,1,2,"Mellors, Mr. William John",0,-0.7962859910387481,-0.4745451962498395,-0.4736736092984604,SW/PP 751,-0.4370074380797968,,S
227,227,227,227,228,0,3,"Lovell, Mr. John Hall (""Henry"")",0,-0.6810112260568114,-0.4745451962498395,-0.4736736092984604,A/5 21173,-0.5024451714361923,,S
228,228,228,228,229,0,2,"Fahlstrom, Mr. Arne Jonas",0,-0.8731358343600393,-0.4745451962498395,-0.4736736092984604,236171,-0.3866707201133388,,S
231,231,231,231,232,0,3,"Larsson, Mr. Bengt Edvin",0,-0.0277875578258363,-0.4745451962498395,-0.4736736092984604,347067,-0.4918744606632361,,S
234,234,234,234,235,0,2,"Leyson, Mr. Robert William Norman",0,-0.4120367744322922,-0.4745451962498395,-0.4736736092984604,C.A. 29566,-0.4370074380797968,,S
235,235,235,235,236,0,3,"Harknett, Miss. Alice Phoebe",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,W./C. 6609,-0.4964047652802172,,S
236,236,236,236,237,0,2,"Hold, Mr. Stephen",0,1.1249600919935314,0.4327933656785018,-0.4736736092984604,26707,-0.1249197866877571,,S
238,238,238,238,239,0,2,"Pengelly, Mr. Frederick William",0,-0.7962859910387481,-0.4745451962498395,-0.4736736092984604,28665,-0.4370074380797968,,S
239,239,239,239,240,0,2,"Hunt, Mr. George Henry",0,0.2796118154593283,-0.4745451962498395,-0.4736736092984604,SCO/W 1585,-0.4012683683236117,,S
240,240,240,240,241,0,3,"Zabour, Miss. Thamine",1,-0.1046374011471275,0.4327933656785018,-0.4736736092984604,2665,-0.3573908580066095,,C
241,241,241,241,242,1,3,"Murphy, Miss. Katherine ""Kate""",1,-0.1046374011471275,0.4327933656785018,-0.4736736092984604,367230,-0.3363340021468808,,Q
242,242,242,242,243,0,2,"Coleridge, Mr. Reginald Charles",0,-0.0277875578258363,-0.4745451962498395,-0.4736736092984604,W./C. 14263,-0.4370074380797968,,S
243,243,243,243,244,0,3,"Maenpaa, Mr. Matti Alexanteri",0,-0.5657364610748746,-0.4745451962498395,-0.4736736092984604,STON/O 2. 3101275,-0.5049620073345151,,S
244,244,244,244,245,0,3,"Attalah, Mr. Sleiman",0,0.0490622854954548,-0.4745451962498395,-0.4736736092984604,2694,-0.5029485386158568,,C
246,246,246,246,247,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",1,-0.335186931111001,-0.4745451962498395,-0.4736736092984604,347071,-0.4918744606632361,,S
249,249,249,249,250,0,2,"Carter, Rev. Ernest Courtenay",0,1.893458525206443,0.4327933656785018,-0.4736736092984604,244252,-0.1249197866877571,,S
250,250,250,250,251,0,3,"Reed, Mr. James George",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,362316,-0.5024451714361923,,S
253,253,253,253,254,0,3,"Lobb, Mr. William Arthur",0,0.0490622854954548,0.4327933656785018,-0.4736736092984604,A/5. 3336,-0.3242531898349308,,S
260,260,260,260,261,0,3,"Smith, Mr. Thomas",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,384461,-0.4923778278429006,,Q
263,263,263,263,264,0,1,"Harrison, Mr. William",0,0.8175607187083667,-0.4745451962498395,-0.4736736092984604,112059,-0.6484216535389205,B94,S
264,264,264,264,265,0,3,"Henry, Miss. Delia",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,382649,-0.4923778278429006,,Q
265,265,265,265,266,0,2,"Reeves, Mr. David",0,0.5101613454232019,-0.4745451962498395,-0.4736736092984604,C.A. 17248,-0.4370074380797968,,S
267,267,267,267,268,1,3,"Persson, Mr. Ernst Ulrik",0,-0.335186931111001,0.4327933656785018,-0.4736736092984604,347083,-0.4918744606632361,,S
270,270,270,270,271,0,1,"Cairns, Mr. Alexander",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,113798,-0.0242463507548411,,S
271,271,271,271,272,1,3,"Tornquist, Mr. William Henry",0,-0.335186931111001,-0.4745451962498395,-0.4736736092984604,LINE,-0.6484216535389205,,S
274,274,274,274,275,1,3,"Healy, Miss. Hanora ""Nora""",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,370375,-0.4923778278429006,,Q
276,276,276,276,277,0,3,"Lindblom, Miss. Augusta Charlotta",1,1.2018099353148226,-0.4745451962498395,-0.4736736092984604,347073,-0.4923778278429006,,S
277,277,277,277,278,0,2,"Parkes, Mr. Francis ""Frank""",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,239853,-0.6484216535389205,,S
281,281,281,281,282,0,3,"Olsson, Mr. Nils Johan Goransson",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,347464,-0.4902797934380587,,S
282,282,282,282,283,0,3,"de Pelsmaeker, Mr. Alfons",0,-1.0268355210026217,-0.4745451962498395,-0.4736736092984604,345778,-0.45714212526638,,S
283,283,283,283,284,1,3,"Dorking, Mr. Edward Arthur",0,-0.7962859910387481,-0.4745451962498395,-0.4736736092984604,A/5. 10482,-0.4863374216869257,,S
284,284,284,284,285,0,1,"Smith, Mr. Richard William",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,113056,-0.1249197866877571,A19,S
285,285,285,285,286,0,3,"Stankovic, Mr. Ivan",0,0.2796118154593283,-0.4745451962498395,-0.4736736092984604,349239,-0.4740049257851434,,C
286,286,286,286,287,1,3,"de Mulder, Mr. Theodore",0,0.0490622854954548,-0.4745451962498395,-0.4736736092984604,345774,-0.45714212526638,,S
287,287,287,287,288,0,3,"Naidenoff, Mr. Penko",0,-0.5657364610748746,-0.4745451962498395,-0.4736736092984604,349206,-0.4894421904510968,,S
288,288,288,288,289,1,2,"Hosono, Mr. Masabumi",0,0.9712604053509488,-0.4745451962498395,-0.4736736092984604,237798,-0.3866707201133388,,S
289,289,289,289,290,1,3,"Connolly, Miss. Kate",1,-0.5657364610748746,-0.4745451962498395,-0.4736736092984604,370373,-0.4923778278429006,,Q
292,292,292,292,293,0,2,"Levy, Mr. Rene Jacques",0,0.5101613454232019,-0.4745451962498395,-0.4736736092984604,SC/Paris 2163,-0.3891875560116617,D,C
293,293,293,293,294,0,3,"Haas, Miss. Aloisia",1,-0.4120367744322922,-0.4745451962498395,-0.4736736092984604,349236,-0.4702296719376591,,S
294,294,294,294,295,0,3,"Mineff, Mr. Ivan",0,-0.4120367744322922,-0.4745451962498395,-0.4736736092984604,349233,-0.4894421904510968,,S
295,295,295,295,296,0,1,"Lewy, Mr. Ervin G",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,PC 17612,-0.0902720169770847,,C
296,296,296,296,297,0,3,"Hanna, Mr. Mansour",0,-0.4504616960929378,-0.4745451962498395,-0.4736736092984604,2693,-0.5028639729296732,,C
298,298,298,298,299,1,1,"Saalfeld, Mr. Adolphe",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,19988,-0.0343136943481327,C106,S
300,300,300,300,301,1,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,9234,-0.4923778278429006,,Q
301,301,301,301,302,1,3,"McCoy, Mr. Bernard",0,-0.1046374011471275,1.340131927606843,-0.4736736092984604,367226,-0.1802901764508609,,Q
302,302,302,302,303,0,3,"Johnson, Mr. William Cahoone Jr",0,-0.7962859910387481,-0.4745451962498395,-0.4736736092984604,LINE,-0.6484216535389205,,S
303,303,303,303,304,1,2,"Keane, Miss. Nora A",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,226593,-0.3997582667846179,E101,Q
304,304,304,304,305,0,3,"Williams, Mr. Howard Hugh ""Harry""",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,A/5 2466,-0.4863374216869257,,S
308,308,308,308,309,0,2,"Abelson, Mr. Samuel",0,0.0490622854954548,0.4327933656785018,-0.4736736092984604,P/PP 3381,-0.1651891610609235,,C
309,309,309,309,310,1,1,"Francatelli, Miss. Laura Mabel",1,0.0490622854954548,-0.4745451962498395,-0.4736736092984604,PC 17485,0.4978299802435121,E36,C
313,313,313,313,314,0,3,"Hendekovic, Mr. Ignjac",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,349243,-0.4894421904510968,,S
315,315,315,315,316,1,3,"Nilsson, Miss. Helmina Josefina",1,-0.2583370877897099,-0.4745451962498395,-0.4736736092984604,347470,-0.4902797934380587,,S
316,316,316,316,317,1,2,"Kantor, Mrs. Sinai (Miriam Sternin)",1,-0.4120367744322922,0.4327933656785018,-0.4736736092984604,244367,-0.1249197866877571,,S
317,317,317,317,318,0,2,"Moraweck, Dr. Ernest",0,1.893458525206443,-0.4745451962498395,-0.4736736092984604,29011,-0.3665360329267556,,S
320,320,320,320,321,0,3,"Dennis, Mr. Samuel",0,-0.5657364610748746,-0.4745451962498395,-0.4736736092984604,A/5 21172,-0.5024451714361923,,S
321,321,321,321,322,0,3,"Danoff, Mr. Yoto",0,-0.1814872444684187,-0.4745451962498395,-0.4736736092984604,349219,-0.4894421904510968,,S
322,322,322,322,323,1,2,"Slayter, Miss. Hilda Mary",1,0.0490622854954548,-0.4745451962498395,-0.4736736092984604,234818,-0.3997582667846179,,Q
327,327,327,327,328,1,2,"Ball, Mrs. (Ada E Hall)",1,0.5101613454232019,-0.4745451962498395,-0.4736736092984604,28551,-0.3866707201133388,D,S
330,330,330,330,331,1,3,"McCoy, Miss. Agnes",1,-0.1046374011471275,1.340131927606843,-0.4736736092984604,367226,-0.1802901764508609,,Q
331,331,331,331,332,0,1,"Partner, Mr. Austen",0,1.2402348569754682,-0.4745451962498395,-0.4736736092984604,113043,-0.0745830687212991,C124,S
333,333,333,333,334,0,3,"Vander Planke, Mr. Leo Edmondus",0,-1.0268355210026217,1.340131927606843,-0.4736736092984604,345764,-0.2859972841804228,,S
335,335,335,335,336,0,3,"Denkoff, Mr. Mitto",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,349225,-0.4894421904510968,,S
338,338,338,338,339,1,3,"Dahl, Mr. Karl Edwart",0,1.2018099353148226,-0.4745451962498395,-0.4736736092984604,7598,-0.4863374216869257,,S
339,339,339,339,340,0,1,"Blackwell, Mr. Stephen Weart",0,1.2018099353148226,-0.4745451962498395,-0.4736736092984604,113784,0.0663597415847833,T,S
342,342,342,342,343,0,2,"Collander, Mr. Erik Gustaf",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,248740,-0.3866707201133388,,S
343,343,343,343,344,0,2,"Sedgwick, Mr. Charles Frederick Waddington",0,-0.335186931111001,-0.4745451962498395,-0.4736736092984604,244361,-0.3866707201133388,,S
344,344,344,344,345,0,2,"Fox, Mr. Stanley Hubert",0,0.5101613454232019,-0.4745451962498395,-0.4736736092984604,229236,-0.3866707201133388,,S
345,345,345,345,346,1,2,"Brown, Miss. Amelia ""Mildred""",1,-0.4120367744322922,-0.4745451962498395,-0.4736736092984604,248733,-0.3866707201133388,F33,S
346,346,346,346,347,1,2,"Smith, Miss. Marion Elsie",1,0.8175607187083667,-0.4745451962498395,-0.4736736092984604,31418,-0.3866707201133388,,S
347,347,347,347,348,1,3,"Davison, Mrs. Thomas Henry (Mary E Finck)",1,-0.1046374011471275,0.4327933656785018,-0.4736736092984604,386525,-0.3242531898349308,,S
349,349,349,349,350,0,3,"Dimic, Mr. Jovan",0,0.9712604053509488,-0.4745451962498395,-0.4736736092984604,315088,-0.4740049257851434,,S
350,350,350,350,351,0,3,"Odahl, Mr. Nils Martin",0,-0.4888866177535834,-0.4745451962498395,-0.4736736092984604,7267,-0.4626791642426904,,S
351,351,351,351,352,0,1,"Williams-Lambert, Mr. Fletcher Fellows",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,113510,0.0562923979914917,C128,S
353,353,353,353,354,0,3,"Arnold-Franchi, Mr. Josef",0,-0.335186931111001,0.4327933656785018,-0.4736736092984604,349237,-0.2900242216177394,,S
354,354,354,354,355,0,3,"Yousif, Mr. Wazli",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,2647,-0.5029485386158568,,C
355,355,355,355,356,0,3,"Vanden Steen, Mr. Leo Peter",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,345783,-0.45714212526638,,S
357,357,357,357,358,0,2,"Funk, Miss. Annie Clemmer",1,0.6638610320657843,-0.4745451962498395,-0.4736736092984604,237671,-0.3866707201133388,,S
358,358,358,358,359,1,3,"McGovern, Miss. Mary",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,330931,-0.489776426258394,,Q
359,359,359,359,360,1,3,"Mockler, Miss. Helen Mary ""Ellie""",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,330980,-0.489776426258394,,Q
361,361,361,361,362,0,2,"del Carlo, Mr. Sebastiano",0,-0.0277875578258363,0.4327933656785018,-0.4736736092984604,SC/PARIS 2167,-0.0902720169770847,,C
363,363,363,363,364,0,3,"Asim, Mr. Adola",0,0.4333115021019107,-0.4745451962498395,-0.4736736092984604,SOTON/O.Q. 3101310,-0.5064721088735089,,S
364,364,364,364,365,0,3,"O'Brien, Mr. Thomas",0,-0.1046374011471275,0.4327933656785018,-0.4736736092984604,370365,-0.3363340021468808,,Q
365,365,365,365,366,0,3,"Adahl, Mr. Mauritz Nils Martin",0,0.0490622854954548,-0.4745451962498395,-0.4736736092984604,C 7076,-0.5024451714361923,,S
367,367,367,367,368,1,3,"Moussa, Mrs. (Mantoura Boulos)",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,2626,-0.5028639729296732,,C
368,368,368,368,369,1,3,"Jermyn, Miss. Annie",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,14313,-0.4923778278429006,,Q
370,370,370,370,371,1,1,"Harder, Mr. George Achilles",0,-0.335186931111001,0.4327933656785018,-0.4736736092984604,11765,0.4678796330534696,E50,C
371,371,371,371,372,0,3,"Wiklund, Mr. Jakob Alfred",0,-0.8731358343600393,0.4327933656785018,-0.4736736092984604,3101267,-0.5176307525123133,,S
372,372,372,372,373,0,3,"Beavan, Mr. William Thomas",0,-0.7962859910387481,-0.4745451962498395,-0.4736736092984604,323951,-0.4863374216869257,,S
376,376,376,376,377,1,3,"Landergren, Miss. Aurora Adelia",1,-0.5657364610748746,-0.4745451962498395,-0.4736736092984604,C 7077,-0.5024451714361923,,S
378,378,378,378,379,0,3,"Betros, Mr. Tannous",0,-0.719436147717457,-0.4745451962498395,-0.4736736092984604,2648,-0.5676312212027554,,C
379,379,379,379,380,0,3,"Gustafsson, Mr. Karl Gideon",0,-0.7962859910387481,-0.4745451962498395,-0.4736736092984604,347069,-0.4918744606632361,,S
382,382,382,382,383,0,3,"Tikkanen, Mr. Juho",0,0.2027619721380371,-0.4745451962498395,-0.4736736092984604,STON/O 2. 3101293,-0.4888542575852486,,S
383,383,383,383,384,1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",1,0.4333115021019107,0.4327933656785018,-0.4736736092984604,113789,0.3985820801634062,,S
384,384,384,384,385,0,3,"Plotcharsky, Mr. Vasil",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,349227,-0.4894421904510968,,S
387,387,387,387,388,1,2,"Buss, Miss. Kate",1,0.5101613454232019,-0.4745451962498395,-0.4736736092984604,27849,-0.3866707201133388,,S
388,388,388,388,389,0,3,"Sadlier, Mr. Matthew",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,367655,-0.4927966293363816,,Q
389,389,389,389,390,1,2,"Lehmann, Miss. Bertha",1,-0.9499856776813304,-0.4745451962498395,-0.4736736092984604,SC 1748,-0.406805407299922,,C
391,391,391,391,392,1,3,"Jansson, Mr. Carl Olof",0,-0.6425863043961658,-0.4745451962498395,-0.4736736092984604,350034,-0.4914556591697551,,S
392,392,392,392,393,0,3,"Gustafsson, Mr. Johan Birger",0,-0.1046374011471275,1.340131927606843,-0.4736736092984604,3101277,-0.4888542575852486,,S
395,395,395,395,396,0,3,"Johansson, Mr. Erik",0,-0.5657364610748746,-0.4745451962498395,-0.4736736092984604,350052,-0.4914556591697551,,S
396,396,396,396,397,0,3,"Olsson, Miss. Elina",1,0.125912128816746,-0.4745451962498395,-0.4736736092984604,350407,-0.4902797934380587,,S
397,397,397,397,398,0,2,"McKane, Mr. Peter David",0,1.2786597786361138,-0.4745451962498395,-0.4736736092984604,28403,-0.1249197866877571,,S
398,398,398,398,399,0,2,"Pain, Dr. Alfred",0,-0.4888866177535834,-0.4745451962498395,-0.4736736092984604,244278,-0.4370074380797968,,S
399,399,399,399,400,1,2,"Trout, Mrs. William H (Jessie L)",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,240929,-0.393717860628643,,S
400,400,400,400,401,1,3,"Niskanen, Mr. Juha",0,0.7407108753870755,-0.4745451962498395,-0.4736736092984604,STON/O 2. 3101289,-0.4888542575852486,,S
401,401,401,401,402,0,3,"Adams, Mr. John",0,-0.2583370877897099,-0.4745451962498395,-0.4736736092984604,341826,-0.4863374216869257,,S
402,402,402,402,403,0,3,"Jussila, Miss. Mari Aina",1,-0.6425863043961658,0.4327933656785018,-0.4736736092984604,4137,-0.4505983519307405,,S
403,403,403,403,404,0,3,"Hakkarainen, Mr. Pekka Pietari",0,-0.1046374011471275,0.4327933656785018,-0.4736736092984604,STON/O2. 3101279,-0.3292868616315766,,S
404,404,404,404,405,0,3,"Oreskovic, Miss. Marija",1,-0.719436147717457,-0.4745451962498395,-0.4736736092984604,315096,-0.4740049257851434,,S
405,405,405,405,406,0,2,"Gale, Mr. Shadrach",0,0.3564616587806195,0.4327933656785018,-0.4736736092984604,28664,-0.2255932226206731,,S
406,406,406,406,407,0,3,"Widegren, Mr. Carl/Charles Peter",0,1.6629089952425695,-0.4745451962498395,-0.4736736092984604,347064,-0.4923778278429006,,S
408,408,408,408,409,0,3,"Birkeland, Mr. Hans Martin Monsen",0,-0.6425863043961658,-0.4745451962498395,-0.4736736092984604,312992,-0.4918744606632361,,S
410,410,410,410,411,0,3,"Sdycoff, Mr. Todor",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,349222,-0.4894421904510968,,S
411,411,411,411,412,0,3,"Hart, Mr. Henry",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,394140,-0.5103319284071769,,Q
413,413,413,413,414,0,2,"Cunningham, Mr. Alfred Fleming",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,239853,-0.6484216535389205,,S
414,414,414,414,415,1,3,"Sundman, Mr. Johan Julian",0,1.1249600919935314,-0.4745451962498395,-0.4736736092984604,STON/O 2. 3101269,-0.4888542575852486,,S
415,415,415,415,416,0,3,"Meek, Mrs. Thomas (Annie Louise Rowley)",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,343095,-0.4863374216869257,,S
418,418,418,418,419,0,2,"Matthews, Mr. William John",0,0.0490622854954548,-0.4745451962498395,-0.4736736092984604,28228,-0.3866707201133388,,S
420,420,420,420,421,0,3,"Gheorgheff, Mr. Stanio",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,349254,-0.4894421904510968,,C
421,421,421,421,422,0,3,"Charters, Mr. David",0,-0.6425863043961658,-0.4745451962498395,-0.4736736092984604,A/5. 13032,-0.4927140771189165,,Q
422,422,422,422,423,0,3,"Zimmerman, Mr. Leo",0,-0.0277875578258363,-0.4745451962498395,-0.4736736092984604,315082,-0.4898609919445778,,S
425,425,425,425,426,0,3,"Wiseman, Mr. Phillippe",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,A/4. 34244,-0.5024451714361923,,S
426,426,426,426,427,1,2,"Clarke, Mrs. Charles V (Ada Maria Winfield)",1,-0.1046374011471275,0.4327933656785018,-0.4736736092984604,2003,-0.1249197866877571,,S
427,427,427,427,428,1,2,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",1,-0.7962859910387481,-0.4745451962498395,-0.4736736092984604,250655,-0.1249197866877571,,S
428,428,428,428,429,0,3,"Flynn, Mr. James",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,364851,-0.4923778278429006,,Q
429,429,429,429,430,1,3,"Pickard, Mr. Berk (Berk Trembisky)",0,0.2027619721380371,-0.4745451962498395,-0.4736736092984604,SOTON/O.Q. 392078,-0.4863374216869257,E10,S
430,430,430,430,431,1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,110564,-0.1138457087351363,C52,S
431,431,431,431,432,1,3,"Thorneycroft, Mrs. Percival (Florence Kate White)",1,-0.1046374011471275,0.4327933656785018,-0.4736736092984604,376564,-0.3242531898349308,,S
432,432,432,432,433,1,2,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",1,0.9712604053509488,0.4327933656785018,-0.4736736092984604,SC/AH 3085,-0.1249197866877571,,S
433,433,433,433,434,0,3,"Kallio, Mr. Nikolai Erland",0,-0.9499856776813304,-0.4745451962498395,-0.4736736092984604,STON/O 2. 3101274,-0.5049620073345151,,S
434,434,434,434,435,0,1,"Silvey, Mr. William Baird",0,1.5860591519212783,0.4327933656785018,-0.4736736092984604,13507,0.4771073601910807,E44,S
439,439,439,439,440,0,2,"Kvillner, Mr. Johan Henrik Johannesson",0,0.125912128816746,-0.4745451962498395,-0.4736736092984604,C.A. 18723,-0.4370074380797968,,S
441,441,441,441,442,0,3,"Hampe, Mr. Leon",0,-0.719436147717457,-0.4745451962498395,-0.4736736092984604,345769,-0.45714212526638,,S
442,442,442,442,443,0,3,"Petterson, Mr. Johan Emil",0,-0.335186931111001,0.4327933656785018,-0.4736736092984604,347076,-0.4918744606632361,,S
443,443,443,443,444,1,2,"Reynaldo, Ms. Encarnacion",1,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,230434,-0.3866707201133388,,S
444,444,444,444,445,1,3,"Johannesen-Bratthammer, Mr. Bernt",0,-0.1046374011471275,-0.4745451962498395,-0.4736736092984604,65306,-0.4850790037377642,,S
447,447,447,447,448,1,1,"Seward, Mr. Frederic Kimber",0,0.3564616587806195,-0.4745451962498395,-0.4736736092984604,113794,-0.1138457087351363,,S
449,449,449,449,450,1,1,"Peuchen, Major. Arthur Godfrey",0,1.7397588385638607,-0.4745451962498395,-0.4736736092984604,113786,-0.0343136943481327,C104,S
451,451,451,451,452,0,3,"Hagland, Mr. Ingvald Olai Olsen",0,-0.1046374011471275,0.4327933656785018,-0.4736736092984604,65303,-0.2463983948905696,,S
